"filename", "language", "JSON", "XML", "C#", "ShaderLab", "Markdown", "HTML", "comment", "blank", "total"
"c:\Programering\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\Assets\AstarPathfindingProject\Behaviors\AIDestinationSetter.cs", "C#", 0, 0, 26, 0, 0, 0, 15, 5, 46
"c:\Programering\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\Assets\AstarPathfindingProject\Behaviors\Patrol.cs", "C#", 0, 0, 32, 0, 0, 0, 16, 12, 60
"c:\Programering\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\Assets\AstarPathfindingProject\CHANGELOG.md", "Markdown", 0, 0, 0, 0, 1894, 0, 0, 105, 1999
"c:\Programering\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\Assets\AstarPathfindingProject\Core\AI\AIBase.cs", "C#", 0, 0, 357, 0, 0, 0, 314, 104, 775
"c:\Programering\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\Assets\AstarPathfindingProject\Core\AI\AILerp.cs", "C#", 0, 0, 351, 0, 0, 0, 243, 108, 702
"c:\Programering\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\Assets\AstarPathfindingProject\Core\AI\AIPath.cs", "C#", 0, 0, 214, 0, 0, 0, 201, 77, 492
"c:\Programering\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\Assets\AstarPathfindingProject\Core\AI\IAstarAI.cs", "C#", 0, 0, 31, 0, 0, 0, 336, 26, 393
"c:\Programering\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\Assets\AstarPathfindingProject\Core\AI\NavmeshController.cs", "C#", 0, 0, 0, 0, 0, 0, 3, 2, 5
"c:\Programering\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\Assets\AstarPathfindingProject\Core\AI\Seeker.cs", "C#", 0, 0, 190, 0, 0, 0, 252, 66, 508
"c:\Programering\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\Assets\AstarPathfindingProject\Core\AI\TurnBasedAI.cs", "C#", 0, 0, 19, 0, 0, 0, 3, 4, 26
"c:\Programering\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\Assets\AstarPathfindingProject\Core\AstarData.cs", "C#", 0, 0, 407, 0, 0, 0, 220, 107, 734
"c:\Programering\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\Assets\AstarPathfindingProject\Core\AstarMath.cs", "C#", 0, 0, 799, 0, 0, 0, 484, 248, 1531
"c:\Programering\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\Assets\AstarPathfindingProject\Core\AstarPath.cs", "C#", 0, 0, 845, 0, 0, 0, 1018, 301, 2164
"c:\Programering\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\Assets\AstarPathfindingProject\Core\GraphUpdateScene.cs", "C#", 0, 0, 209, 0, 0, 0, 132, 58, 399
"c:\Programering\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\Assets\AstarPathfindingProject\Core\GraphUpdateShape.cs", "C#", 0, 0, 96, 0, 0, 0, 32, 16, 144
"c:\Programering\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\Assets\AstarPathfindingProject\Core\Misc\AnimationLink.cs", "C#", 0, 0, 98, 0, 0, 0, 1, 24, 123
"c:\Programering\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\Assets\AstarPathfindingProject\Core\Misc\ArrayPool.cs", "C#", 0, 0, 112, 0, 0, 0, 68, 19, 199
"c:\Programering\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\Assets\AstarPathfindingProject\Core\Misc\AstarDebugger.cs", "C#", 0, 0, 226, 0, 0, 0, 35, 77, 338
"c:\Programering\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\Assets\AstarPathfindingProject\Core\Misc\AutoRepathPolicy.cs", "C#", 0, 0, 45, 0, 0, 0, 41, 15, 101
"c:\Programering\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\Assets\AstarPathfindingProject\Core\Misc\BinaryHeap.cs", "C#", 0, 0, 191, 0, 0, 0, 82, 52, 325
"c:\Programering\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\Assets\AstarPathfindingProject\Core\Misc\Draw.cs", "C#", 0, 0, 71, 0, 0, 0, 1, 20, 92
"c:\Programering\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\Assets\AstarPathfindingProject\Core\Misc\EditorResourceHelper.cs", "C#", 0, 0, 80, 0, 0, 0, 10, 16, 106
"c:\Programering\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\Assets\AstarPathfindingProject\Core\Misc\GraphEditorBase.cs", "C#", 0, 0, 7, 0, 0, 0, 2, 2, 11
"c:\Programering\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\Assets\AstarPathfindingProject\Core\Misc\GraphModifier.cs", "C#", 0, 0, 119, 0, 0, 0, 57, 29, 205
"c:\Programering\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\Assets\AstarPathfindingProject\Core\Misc\GraphUpdateProcessor.cs", "C#", 0, 0, 242, 0, 0, 0, 65, 63, 370
"c:\Programering\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\Assets\AstarPathfindingProject\Core\Misc\GraphUtilities.cs", "C#", 0, 0, 145, 0, 0, 0, 100, 26, 271
"c:\Programering\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\Assets\AstarPathfindingProject\Core\Misc\HierarchicalGraph.cs", "C#", 0, 0, 222, 0, 0, 0, 77, 48, 347
"c:\Programering\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\Assets\AstarPathfindingProject\Core\Misc\Int3.cs", "C#", 0, 0, 220, 0, 0, 0, 32, 63, 315
"c:\Programering\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\Assets\AstarPathfindingProject\Core\Misc\ListPool.cs", "C#", 0, 0, 115, 0, 0, 0, 74, 23, 212
"c:\Programering\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\Assets\AstarPathfindingProject\Core\Misc\MovementUtilities.cs", "C#", 0, 0, 71, 0, 0, 0, 77, 27, 175
"c:\Programering\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\Assets\AstarPathfindingProject\Core\Misc\NodeLink.cs", "C#", 0, 0, 116, 0, 0, 0, 16, 26, 158
"c:\Programering\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\Assets\AstarPathfindingProject\Core\Misc\NodeLink2.cs", "C#", 0, 0, 220, 0, 0, 0, 32, 57, 309
"c:\Programering\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\Assets\AstarPathfindingProject\Core\Misc\NodeLink3.cs", "C#", 0, 0, 228, 0, 0, 0, 18, 68, 314
"c:\Programering\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\Assets\AstarPathfindingProject\Core\Misc\ObjectPool.cs", "C#", 0, 0, 65, 0, 0, 0, 56, 11, 132
"c:\Programering\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\Assets\AstarPathfindingProject\Core\Misc\PathInterpolator.cs", "C#", 0, 0, 144, 0, 0, 0, 27, 36, 207
