Date : 2023-04-22 19:33:31
Directory : c:\Programering\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut
Total : 230 files,  47599 codes, 11976 comments, 10156 blanks, all 69731 lines

Languages
+-----------+------------+------------+------------+------------+------------+
| language  | files      | code       | comment    | blank      | total      |
+-----------+------------+------------+------------+------------+------------+
| C#        |        199 |     26,918 |     11,870 |      7,672 |     46,460 |
| HTML      |          1 |     15,381 |          0 |      1,662 |     17,043 |
| ShaderLab |         22 |      2,604 |        106 |        711 |      3,421 |
| Markdown  |          3 |      1,901 |          0 |        107 |      2,008 |
| JSON      |          4 |        773 |          0 |          4 |        777 |
| XML       |          1 |         22 |          0 |          0 |         22 |
+-----------+------------+------------+------------+------------+------------+

Directories
+------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                                                   | files      | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                                                      |        230 |     47,599 |     11,976 |     10,156 |     69,731 |
| . (Files)                                                                                                                                                              |          1 |          1 |          0 |          0 |          1 |
| Assets                                                                                                                                                                 |        227 |     47,022 |     11,976 |     10,154 |     69,152 |
| Assets (Files)                                                                                                                                                         |          1 |         31 |          1 |         12 |         44 |
| Assets\AstarPathfindingProject                                                                                                                                         |        141 |     38,828 |     10,504 |      7,671 |     57,003 |
| Assets\AstarPathfindingProject (Files)                                                                                                                                 |          3 |      1,958 |          0 |        105 |      2,063 |
| Assets\AstarPathfindingProject\Behaviors                                                                                                                               |          2 |         58 |         31 |         17 |        106 |
| Assets\AstarPathfindingProject\Core                                                                                                                                    |         48 |      9,552 |      6,087 |      2,717 |     18,356 |
| Assets\AstarPathfindingProject\Core (Files)                                                                                                                            |          8 |      3,349 |      2,865 |      1,020 |      7,234 |
| Assets\AstarPathfindingProject\Core\AI                                                                                                                                 |          7 |      1,162 |      1,352 |        387 |      2,901 |
| Assets\AstarPathfindingProject\Core\Misc                                                                                                                               |         27 |      3,689 |      1,290 |        961 |      5,940 |
| Assets\AstarPathfindingProject\Core\Nodes                                                                                                                              |          1 |        330 |        385 |         97 |        812 |
| Assets\AstarPathfindingProject\Core\Serialization                                                                                                                      |          5 |      1,022 |        195 |        252 |      1,469 |
| Assets\AstarPathfindingProject\Documentation                                                                                                                           |          2 |     15,387 |          0 |      1,664 |     17,051 |
| Assets\AstarPathfindingProject\Editor                                                                                                                                  |         21 |      2,997 |        233 |        735 |      3,965 |
| Assets\AstarPathfindingProject\Editor (Files)                                                                                                                          |         10 |      1,940 |        167 |        477 |      2,584 |
| Assets\AstarPathfindingProject\Editor\EditorAssets                                                                                                                     |          3 |        210 |         24 |         51 |        285 |
| Assets\AstarPathfindingProject\Editor\EditorAssets\Materials                                                                                                           |          3 |        210 |         24 |         51 |        285 |
| Assets\AstarPathfindingProject\Editor\GraphEditors                                                                                                                     |          4 |        735 |         42 |        190 |        967 |
| Assets\AstarPathfindingProject\Editor\Legacy                                                                                                                           |          2 |         44 |          0 |          4 |         48 |
| Assets\AstarPathfindingProject\Editor\ModifierEditors                                                                                                                  |          2 |         68 |          0 |         13 |         81 |
