"filename", "language", "C#", "JSON", "Markdown", "ShaderLab", "XML", "HTML", "comment", "blank", "total"
"c:\Programering\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\Assets\AstarPathfindingProject\Behaviors\AIDestinationSetter.cs", "C#", 27, 0, 0, 0, 0, 0, 15, 17, 59
"c:\Programering\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\Assets\AstarPathfindingProject\Behaviors\Patrol.cs", "C#", 32, 0, 0, 0, 0, 0, 16, 12, 60
"c:\Programering\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\Assets\AstarPathfindingProject\CHANGELOG.md", "Markdown", 0, 0, 1894, 0, 0, 0, 0, 105, 1999
"c:\Programering\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\Assets\AstarPathfindingProject\Core\AI\AIBase.cs", "C#", 357, 0, 0, 0, 0, 0, 314, 104, 775
"c:\Programering\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\Assets\AstarPathfindingProject\Core\AI\AILerp.cs", "C#", 351, 0, 0, 0, 0, 0, 243, 108, 702
"c:\Programering\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\Assets\AstarPathfindingProject\Core\AI\AIPath.cs", "C#", 214, 0, 0, 0, 0, 0, 201, 77, 492
"c:\Programering\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\Assets\AstarPathfindingProject\Core\AI\AIRotate.cs", "C#", 29, 0, 0, 0, 0, 0, 0, 8, 37
"c:\Programering\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\Assets\AstarPathfindingProject\Core\AI\IAstarAI.cs", "C#", 31, 0, 0, 0, 0, 0, 336, 26, 393
"c:\Programering\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\Assets\AstarPathfindingProject\Core\AI\NavmeshController.cs", "C#", 0, 0, 0, 0, 0, 0, 3, 2, 5
"c:\Programering\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\Assets\AstarPathfindingProject\Core\AI\Seeker.cs", "C#", 190, 0, 0, 0, 0, 0, 252, 66, 508
"c:\Programering\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\Assets\AstarPathfindingProject\Core\AI\TurnBasedAI.cs", "C#", 19, 0, 0, 0, 0, 0, 3, 4, 26
"c:\Programering\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\Assets\AstarPathfindingProject\Core\AstarData.cs", "C#", 407, 0, 0, 0, 0, 0, 220, 107, 734
"c:\Programering\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\Assets\AstarPathfindingProject\Core\AstarMath.cs", "C#", 799, 0, 0, 0, 0, 0, 484, 248, 1531
"c:\Programering\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\Assets\AstarPathfindingProject\Core\AstarPath.cs", "C#", 842, 0, 0, 0, 0, 0, 1021, 301, 2164
"c:\Programering\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\Assets\AstarPathfindingProject\Core\GraphUpdateScene.cs", "C#", 209, 0, 0, 0, 0, 0, 132, 58, 399
"c:\Programering\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\Assets\AstarPathfindingProject\Core\GraphUpdateShape.cs", "C#", 96, 0, 0, 0, 0, 0, 32, 16, 144
"c:\Programering\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\Assets\AstarPathfindingProject\Core\Misc\AnimationLink.cs", "C#", 98, 0, 0, 0, 0, 0, 1, 24, 123
"c:\Programering\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\Assets\AstarPathfindingProject\Core\Misc\ArrayPool.cs", "C#", 112, 0, 0, 0, 0, 0, 68, 19, 199
"c:\Programering\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\Assets\AstarPathfindingProject\Core\Misc\AstarDebugger.cs", "C#", 226, 0, 0, 0, 0, 0, 35, 77, 338
"c:\Programering\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\Assets\AstarPathfindingProject\Core\Misc\AutoRepathPolicy.cs", "C#", 45, 0, 0, 0, 0, 0, 41, 15, 101
"c:\Programering\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\Assets\AstarPathfindingProject\Core\Misc\BinaryHeap.cs", "C#", 191, 0, 0, 0, 0, 0, 82, 52, 325
"c:\Programering\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\Assets\AstarPathfindingProject\Core\Misc\Draw.cs", "C#", 71, 0, 0, 0, 0, 0, 1, 20, 92
"c:\Programering\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\Assets\AstarPathfindingProject\Core\Misc\EditorResourceHelper.cs", "C#", 80, 0, 0, 0, 0, 0, 10, 16, 106
"c:\Programering\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\Assets\AstarPathfindingProject\Core\Misc\GraphEditorBase.cs", "C#", 7, 0, 0, 0, 0, 0, 2, 2, 11
"c:\Programering\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\Assets\AstarPathfindingProject\Core\Misc\GraphModifier.cs", "C#", 119, 0, 0, 0, 0, 0, 57, 29, 205
"c:\Programering\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\Assets\AstarPathfindingProject\Core\Misc\GraphUpdateProcessor.cs", "C#", 242, 0, 0, 0, 0, 0, 65, 63, 370
"c:\Programering\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\Assets\AstarPathfindingProject\Core\Misc\GraphUtilities.cs", "C#", 145, 0, 0, 0, 0, 0, 100, 26, 271
"c:\Programering\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\Assets\AstarPathfindingProject\Core\Misc\HierarchicalGraph.cs", "C#", 222, 0, 0, 0, 0, 0, 77, 48, 347
"c:\Programering\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\Assets\AstarPathfindingProject\Core\Misc\Int3.cs", "C#", 220, 0, 0, 0, 0, 0, 32, 63, 315
"c:\Programering\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\Assets\AstarPathfindingProject\Core\Misc\ListPool.cs", "C#", 115, 0, 0, 0, 0, 0, 74, 23, 212
"c:\Programering\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\Assets\AstarPathfindingProject\Core\Misc\MovementUtilities.cs", "C#", 71, 0, 0, 0, 0, 0, 77, 27, 175
"c:\Programering\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\Assets\AstarPathfindingProject\Core\Misc\NodeLink.cs", "C#", 116, 0, 0, 0, 0, 0, 16, 26, 158
"c:\Programering\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\Assets\AstarPathfindingProject\Core\Misc\NodeLink2.cs", "C#", 220, 0, 0, 0, 0, 0, 32, 57, 309
"c:\Programering\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\Assets\AstarPathfindingProject\Core\Misc\NodeLink3.cs", "C#", 228, 0, 0, 0, 0, 0, 18, 68, 314
"c:\Programering\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\Assets\AstarPathfindingProject\Core\Misc\ObjectPool.cs", "C#", 65, 0, 0, 0, 0, 0, 56, 11, 132
"c:\Programering\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\Assets\AstarPathfindingProject\Core\Misc\PathInterpolator.cs", "C#", 144, 0, 0, 0, 0, 0, 27, 36, 207
"c:\Programering\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\Assets\AstarPathfindingProject\Core\Misc\PathPool.cs", "C#", 65, 0, 0, 0, 0, 0, 11, 13, 89
"c:\Programering\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\Assets\AstarPathfindingProject\Core\Misc\PathProcessor.cs", "C#", 340, 0, 0, 0, 0, 0, 138, 110, 588
"c:\Programering\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\Assets\AstarPathfindingProject\Core\Misc\PathReturnQueue.cs", "C#", 42, 0, 0, 0, 0, 0, 20, 12, 74
"c:\Programering\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\Assets\AstarPathfindingProject\Core\Misc\StackPool.cs", "C#", 46, 0, 0, 0, 0, 0, 40, 13, 99
"c:\Programering\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\Assets\AstarPathfindingProject\Core\Misc\ThreadControlQueue.cs", "C#", 181, 0, 0, 0, 0, 0, 66, 45, 292
"c:\Programering\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\Assets\AstarPathfindingProject\Core\Misc\WindowsStoreCompatibility.cs", "C#", 111, 0, 0, 0, 0, 0, 15, 23, 149
